element,id,name,amenity,dispensing,healthcare,opening_hours,phone,website,addr:street,addr:housenumber,addr:city,original_geometry_type,pharmacy_id,longitude,latitude
node,3640298808,Same Dobe Apteki - Apteka Eskulap,pharmacy,yes,pharmacy,24/7,+48814653738,http://www.obywatelska4.pl/,,,,Point,35,22.5714079,51.2586176
node,3640480783,Dbam o Zdrowie,pharmacy,yes,pharmacy,Mo-Sa 08:00-21:00,,,,,,Point,36,22.5149942,51.2290151
node,3646321696,Apteka Magnolia,pharmacy,yes,pharmacy,"Mo-Fr 08:00-20:00, Sa 08:00-15:00",,,,,,Point,37,22.5742527,51.2523655
node,3720993766,Apteka Na Deptaku,pharmacy,yes,pharmacy,24/7,,,,,,Point,38,22.5628032,51.2479098
node,3808029725,Apteka Barbara Wybraniec,pharmacy,yes,pharmacy,Mo-Fr 08:00-19:00; Sa 8:00-14:00,,,,,,Point,39,22.5393157,51.2525203
node,3815553568,VITA,pharmacy,yes,pharmacy,,,,,,,Point,40,22.5450271,51.2600846
node,3832532433,Mediki,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 09:00-14:00,,,,,,Point,41,22.5645738,51.2504588
node,3832532434,Prima,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,Onyksowa,12,Lublin,Point,42,22.5007219,51.2211117
node,3846731975,Apteka Lubelska,pharmacy,yes,,Mo-Fr 08:00-20:00; Sa 08:00-18:00,,,,,,Point,43,22.5803359,51.2165686
node,4053728297,"Apteka ""na Dożynkowej""",pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-15:00,+48817403995,,,,,Point,44,22.5742577,51.2751915
node,4053728299,Apteka Bajeczna,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-15:00; Su off,,,,,,Point,45,22.5952602,51.260983
node,4053728300,Apteka Koralowa,pharmacy,yes,pharmacy,Mo-Fr 08:00-19:00; Sa 08:00-15:00,,,,,,Point,46,22.4849967,51.2248275
node,4053728301,Gemini,pharmacy,yes,pharmacy,,,,Wojciecha Żywnego,8,Lublin,Point,47,22.5489557,51.2690493
node,4053728302,Apteka Markut,pharmacy,yes,pharmacy,,,,,,,Point,48,22.5979753,51.2486829
node,4053728303,Apteka Mikstura,pharmacy,yes,pharmacy,,,,,,,Point,49,22.5539763,51.261846
node,4053728305,Apteka Lubelska,pharmacy,yes,,,,,,,,Point,50,22.5301923,51.2231557
node,4053728306,Apteka Rodzinna,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-16:00; Su 09:00-14:00,,,Ułanów,10,Lublin,Point,51,22.5050771,51.2362749
node,4053728307,Apteka,pharmacy,yes,,,,,,,,Point,52,22.5972383,51.1918209
node,4053728308,Apteka Zdrowotna,pharmacy,yes,pharmacy,,,,,,,Point,53,22.5444595,51.2028076
node,4053728309,Apteka Salutis,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,,,,Point,54,22.5441045,51.2082683
node,4053728310,Apteka Salutis,pharmacy,yes,,,,,,,,Point,55,22.5198542,51.2229923
node,4053728313,Apteka Łabędzia,pharmacy,yes,,,,,,,,Point,56,22.5924338,51.2321935
node,4053728314,Apteka,pharmacy,yes,,,,,,,,Point,57,22.5692951,51.2327433
node,4053728315,Unknown pharmacy,pharmacy,yes,,,,,,,,Point,58,22.5962424,51.2334765
node,4053728316,Apteka,pharmacy,yes,,,,,,,,Point,59,22.5699418,51.2341698
node,4053728323,Apteka Dzieciątka Jezus,pharmacy,yes,pharmacy,,,,,,,Point,60,22.5629786,51.2498628
node,4053728325,Apteka,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,Kolorowa,24/44,Lublin,Point,61,22.5191618,51.2518864
node,4053728327,Dbam o Zdrowie,pharmacy,yes,pharmacy,,,,,,,Point,62,22.5210261,51.2657225
node,4053728328,Apteka Eurofarm Agnieszka Rahnama,pharmacy,yes,pharmacy,Mo-Fr 09:00-18:00; Sa 09:00-13:00,,,,,,Point,63,22.5472176,51.2742329
node,4053728330,Apteka Rogatka Warszawska,pharmacy,yes,,Mo-Fr 08:00-20:00; Sa 08:00-15:00; Su off,,,,,,Point,64,22.5283868,51.2514068
node,4056200926,Farmvita,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-13:00,,,,,,Point,65,22.5620297,51.2498948
node,4056200927,Apteka Milenium,pharmacy,yes,pharmacy,Mo-Fr 07:00-20:00; Sa 08:00-14:00,,,Lubartowska,64,Lublin,Point,66,22.5709537,51.2570703
node,4056200929,Apteka Prima,pharmacy,yes,pharmacy,,,,,,,Point,67,22.5894636,51.2568244
node,4057332696,Apteka Rodzinna,pharmacy,yes,,Mo-Fr 07:30-20:30; Sa 08:00-16:00; Su 09:00-15:00,,https://aptekacentrum.lublin.pl/,,,,Point,68,22.4990046,51.2215612
node,4057332698,Apteka Melisa,pharmacy,yes,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,+48 815259594,,,,,Point,69,22.5002033,51.2404601
node,4057332699,Apteka Promienna,pharmacy,yes,pharmacy,,,,,,,Point,70,22.5122444,51.2396211
node,4060048713,Apteka Sda,pharmacy,yes,pharmacy,Mo-Fr 07:00-21:00; Sa 08:00-20:00; Su 09:00-17:00,,,,,,Point,71,22.5282729,51.2400744
node,4060048714,Apteka Eurofarm,pharmacy,yes,pharmacy,Mo-Sa 09:00-21:00; Fr 09:00-21:30; Su 09:00-20:00,,,,,,Point,72,22.6004842,51.2511212
node,4060048717,Apteka Studencka,pharmacy,yes,pharmacy,Mo-Fr 08:00-18:00; Sa 09:00-14:00; Su off,+48 81 533 01 29,,Mariana Langiewicza,16,,Point,73,22.534394,51.2463686
node,4060048718,Apteka Tilia,pharmacy,yes,,,,,Kościelna,7a,Lublin,Point,74,22.5734903,51.2369771
node,4060048720,Apteka na Zana,pharmacy,yes,pharmacy,24/7,+48 815280298,,Tomasza Zana,27/1,Lublin,Point,75,22.5215206,51.24008
node,4060048721,Apteka Na Krańcowej,pharmacy,yes,,,,,,,,Point,76,22.5906428,51.230497
node,4060048722,Niezapominajka,pharmacy,yes,pharmacy,,,,,,,Point,77,22.5908477,51.2319377
node,4060048724,Apteka,pharmacy,yes,pharmacy,Mo-Fr 07:00-20:00; Sa 07:00-15:00,,,,,,Point,78,22.537748,51.2404339
node,4060048725,Vital Centrum,pharmacy,yes,,,,,,,,Point,79,22.517633,51.2412806
node,4060048727,Apteka Mgr Farm. Barbara Stanicka,pharmacy,yes,pharmacy,,,,,,,Point,80,22.5557479,51.2445528
node,4060048728,Unknown pharmacy,pharmacy,yes,pharmacy,,,,,,,Point,81,22.55745,51.2472415
node,4060048729,Dbam o Zdrowie,pharmacy,yes,pharmacy,Mo-Fr 08:00-19:00; Sa 08:00-14:00,,,,,,Point,82,22.5168416,51.2496487
node,4060048730,Apteka Alicja Doraczyńska-Szopa Józefa Petkowicz,pharmacy,yes,pharmacy,,,,,,,Point,83,22.5825486,51.2556953
node,4060048731,Niezapominajka Dla Całej Rodziny,pharmacy,yes,pharmacy,,,,Lwowska,12,Lublin,Point,84,22.5801495,51.255805
node,4060048734,Apteka,pharmacy,yes,,,+48 81 527 64 43,"http://www.apteka100.pl/?tarasowa-1,7",,,,Point,85,22.5209844,51.2653059
node,4060048737,Apteka Na Bazylianówce,pharmacy,yes,pharmacy,Mo-Sa 08:00-21:00; Su 09:00-20:00,,,Bazylianówka,58,Lublin,Point,86,22.5772537,51.2692897
node,4060048740,Vital Centrum,pharmacy,yes,pharmacy,,,,,,,Point,87,22.5213908,51.2387469
node,4060048741,Dr Zdrowie,pharmacy,yes,pharmacy,,,,Obrońców Pokoju,1a,Lublin,Point,88,22.5498514,51.2448358
node,4060048742,Dr. Max,pharmacy,yes,pharmacy,,,,,,,Point,89,22.518949,51.2408578
node,4068153936,Apteka,pharmacy,yes,pharmacy,,,,,,,Point,90,22.492856,51.2358488
node,4079193544,Nova,pharmacy,yes,pharmacy,"Mo-Fr 08:00-20:00, Sa 08:00-14:00",,,,,,Point,91,22.5817589,51.2703702
node,4117132192,Apteka Zemborzycka,pharmacy,yes,pharmacy,,,,,,,Point,92,22.5103881,51.1744663
node,4117148007,Dbam o Zdrowie,pharmacy,yes,pharmacy,,,,,,,Point,93,22.5421369,51.1990775
node,4117159459,Gemini,pharmacy,yes,pharmacy,24/7,,,Filaretów,44a,Lublin,Point,94,22.5311183,51.2378114
node,4117194301,Apteka Premium - Lek,pharmacy,yes,pharmacy,"Mo-Sa 06:00-22:00; PH,Su 09:00-22:00",,,,,,Point,95,22.5574861,51.2452846
node,4117227788,Dbam o Zdrowie,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-16:00,,,Kalinowszczyzna,46a,Lublin,Point,96,22.5854129,51.2521798
node,4117256989,Apteka Przyjazna,pharmacy,yes,pharmacy,,,,,,,Point,97,22.5905663,51.2433497
node,4117296197,Ziko Apteka,pharmacy,yes,pharmacy,"Mo-Fr 08:00-20:00, Sa 08:00-16:00",+48 12 687 57 47,https://www.ziko.pl/lublin-apteki-drogerie-ziko/krakowskie-przedmiescie-70/,Krakowskie Przedmieście,70,Lublin,Point,98,22.5544352,51.2475495
node,4139288023,Apteka Hipoteczna,pharmacy,yes,pharmacy,,,,,,,Point,99,22.5538943,51.2503386
node,4139298099,Apteka Salutis,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,,,,Point,100,22.5351336,51.2533402
node,4139315316,Apteka,pharmacy,yes,,,,,,,,Point,101,22.5851645,51.2284358
node,4234179933,Dbam o Zdrowie,pharmacy,yes,pharmacy,,,,,,,Point,102,22.5043555,51.2398746
node,4345553368,Apteka Hipoteczna Tanie Leki,pharmacy,yes,pharmacy,,,,Hipoteczna,4,Lublin,Point,103,22.5535231,51.2466404
node,4523228989,Jedyna Taka,pharmacy,yes,pharmacy,Mo-Fr 07:30-20:00; Sa 08:00-15:00; Su off,,,,,,Point,104,22.550362,51.2394822
node,4773432462,Prima,pharmacy,yes,pharmacy,,,,,,,Point,105,22.5265365,51.2285113
node,4784229014,Vital Centrum,pharmacy,yes,pharmacy,,,,,,,Point,106,22.5969842,51.2431422
node,4843761785,Dr Zdrowie,pharmacy,yes,pharmacy,,+48814415350,https://www.drzdrowie.pl/,,,,Point,107,22.5712482,51.267258
node,4908707568,Apteka,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,,,,Point,108,22.5358366,51.2491074
node,5145726163,Apteka Niezapominajka,pharmacy,yes,,Mo-Fr 08:00-20:00; Sa 08:00-16:00,,http://www.apteka-niezapominajka.pl/apteka/Lublin-Sawy,,,,Point,109,22.5239058,51.237953
node,5522660461,Unknown pharmacy,pharmacy,yes,pharmacy,Mo-Fr 08:00-19:00; Sa 08:00-15:00,,,,,,Point,110,22.5474228,51.2632477
node,5588145161,Eskulap II,pharmacy,yes,pharmacy,Mo-Fr 07:00-21:00; Sa 08:00-20:00; Su 08:00-17:00,,,,,,Point,111,22.5407993,51.2680674
node,5650450466,Apteka św Łukasza,pharmacy,yes,pharmacy,Mo-Fr 07:00-21:00; Sa 08:00-15:00,,,,,,Point,112,22.5247717,51.2422088
node,5724281417,Dbam o Zdrowie,pharmacy,yes,pharmacy,Mo-Su 08:00-20:00,,,Bramowa,2-8,Lublin,Point,113,22.5670581,51.2478824
node,5814346257,Nasza Apteka,pharmacy,yes,pharmacy,,,,,,,Point,114,22.6339077,51.2207773
node,6030433590,Gemini,pharmacy,yes,pharmacy,Mo-Fr 07:00-20:00; Sa 08:00-15:00,,,Unicka,4,Lublin,Point,115,22.5729638,51.2588858
node,6051281042,Apteka,pharmacy,yes,pharmacy,,,,,,,Point,116,22.5638576,51.2252559
node,6385800304,Ziko Apteka,pharmacy,yes,pharmacy,"Mo-Fr 07:00-20:00, Sa 08:00-16:00",+48 12 687 57 47,https://www.ziko.pl/lublin-apteki-drogerie-ziko/nadstawna-2/,,,,Point,117,22.5706042,51.252433
node,7195072328,Akademicka,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,,,,Point,118,22.542591,51.2466358
node,8851461374,Całotygodniowa Apteka Familijna,pharmacy,yes,pharmacy,"Mo-Fr 08:00-20:00, Sat 08:00-15:00",,,,,,Point,119,22.5289962,51.2281368
node,9507036892,Apteka Leki,pharmacy,yes,pharmacy,Mo-Fr 07:00-21:00; Sa 08:00-15:00; Su off,,,,,,Point,120,22.532695,51.2543503
node,9563809650,Apteka Andria,pharmacy,yes,,,,,,,,Point,121,22.526922,51.1945106
node,9563809654,Apteka Na Kunickiego,pharmacy,yes,,,,,,,,Point,122,22.5732363,51.2257411
node,9563809657,Niezapominajka,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-16:00,,,Żelazowej Woli,1a,Lublin,Point,123,22.5499845,51.2677392
node,9563809662,Apteka W Zone,pharmacy,yes,,Mo-Sa 09:00-21:00; Su 09:00-18:00,,,,,,Point,124,22.4948706,51.2368776
node,9563809674,Apteka Lubelska,pharmacy,yes,,,,,,,,Point,125,22.5104433,51.2220369
node,9563809678,Unknown pharmacy,pharmacy,yes,pharmacy,,,,,,,Point,126,22.5607405,51.266011
node,9563809693,"Barbara Borsukiewicz, Małgorzata Borsukiewicz, Jerzy Borsukiewicz Spółka Jawna",pharmacy,yes,pharmacy,,,,Topolowa,7,Lublin,Point,127,22.585454,51.231655
node,9563809708,Unknown pharmacy,pharmacy,yes,pharmacy,,,,,,,Point,128,22.5220257,51.2284239
node,9563809712,Unknown pharmacy,pharmacy,yes,pharmacy,,,,,,,Point,129,22.5450353,51.2754183
node,9563809713,Apteka Vita,pharmacy,yes,pharmacy,,,,,,,Point,130,22.554942,51.2732559
node,9563809714,Apteka Panaceum,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,,,,Point,131,22.5185581,51.2556899
node,9563819629,Dbam o Zdrowie,pharmacy,yes,pharmacy,,,,,,,Point,132,22.5188213,51.2422561
node,9566101980,Neuro Apteka,pharmacy,yes,,,,,,,,Point,133,22.5871371,51.2054476
node,10592086305,Unknown pharmacy,pharmacy,yes,pharmacy,,,,,,,Point,134,22.5551223,51.2672477
way,480021930,Super-Pharm,pharmacy,yes,pharmacy,Mo-Sa 09:00-21:00; Su 09:00-20:00,,,Aleja Unii Lubelskiej,2,Lublin,Polygon,135,22.576758466521365,51.2491805
way,1032385139,Dr Zdrowie,pharmacy,yes,pharmacy,"Mo-Sa 09:00-21:00; Jan 25,Mar 29,Apr 26,Jun 28,Aug 30,Dec 06,Dec 13,Dec 20 Su 09:00-20:00",+48 81 452 11 30,,,,,Polygon,136,22.57093922256623,51.28364165
