element,id,name,amenity,dispensing,healthcare,opening_hours,phone,website,addr:street,addr:housenumber,addr:city
node,5724281417,Dbam o Zdrowie,pharmacy,yes,pharmacy,Mo-Su 08:00-20:00,,,Bramowa,2-8,Lublin
node,5814346257,Nasza Apteka,pharmacy,yes,pharmacy,,,,,,
node,6030433590,Gemini,pharmacy,yes,pharmacy,Mo-Fr 07:00-20:00; Sa 08:00-15:00,,,Unicka,4,Lublin
node,6051281042,Apteka,pharmacy,yes,pharmacy,,,,,,
node,6385800304,Ziko Apteka,pharmacy,yes,pharmacy,"Mo-Fr 07:00-20:00, Sa 08:00-16:00",+48 12 687 57 47,https://www.ziko.pl/lublin-apteki-drogerie-ziko/nadstawna-2/,,,
node,7195072328,Akademicka,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,,,
node,8851461374,Całotygodniowa Apteka Familijna,pharmacy,yes,pharmacy,"Mo-Fr 08:00-20:00, Sat 08:00-15:00",,,,,
node,9507036892,Apteka Leki,pharmacy,yes,pharmacy,Mo-Fr 07:00-21:00; Sa 08:00-15:00; Su off,,,,,
node,9563809650,Apteka Andria,pharmacy,yes,,,,,,,
node,9563809654,Apteka Na Kunickiego,pharmacy,yes,,,,,,,
node,9563809657,Niezapominajka,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-16:00,,,Żelazowej Woli,1a,Lublin
node,9563809662,Apteka W Zone,pharmacy,yes,,Mo-Sa 09:00-21:00; Su 09:00-18:00,,,,,
node,9563809674,Apteka Lubelska,pharmacy,yes,,,,,,,
node,9563809678,,pharmacy,yes,pharmacy,,,,,,
node,9563809693,"Barbara Borsukiewicz, Małgorzata Borsukiewicz, Jerzy Borsukiewicz Spółka Jawna",pharmacy,yes,pharmacy,,,,Topolowa,7,Lublin
node,9563809708,,pharmacy,yes,pharmacy,,,,,,
node,9563809712,,pharmacy,yes,pharmacy,,,,,,
node,9563809713,Apteka Vita,pharmacy,yes,pharmacy,,,,,,
node,9563809714,Apteka Panaceum,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,,,,
node,9563819629,Dbam o Zdrowie,pharmacy,yes,pharmacy,,,,,,
node,9566101980,Neuro Apteka,pharmacy,yes,,,,,,,
node,10592086305,,pharmacy,yes,pharmacy,,,,,,
way,480021930,Super-Pharm,pharmacy,yes,pharmacy,Mo-Sa 09:00-21:00; Su 09:00-20:00,,,Aleja Unii Lubelskiej,2,Lublin
way,1032385139,Dr Zdrowie,pharmacy,yes,pharmacy,"Mo-Sa 09:00-21:00; Jan 25,Mar 29,Apr 26,Jun 28,Aug 30,Dec 06,Dec 13,Dec 20 Su 09:00-20:00",+48 81 452 11 30,,,,
